,MTUM,VLUE,QUAL,SIZE,USMV,IVLU,IMTM,IQLT,EMGF,ACWV,SPTL,AGG,EMB,TIP,HYG,SCHH,DBC,GLD,,,,,,,,,,,,,,,,,,
1/14/2000,0.012534935,0.016217967,0.013989572,0.022496444,0.019596175,0.030592492,0.018176771,0.028306543,0.056641905,0.054706266,0.065195688,0.154787518,0.041590219,0.122591511,0.162398542,0.052600916,0.06442831,0.063148226,,,,,,,,,,,,,,,,,,
1/18/2000,0.012669952,0.016481516,0.014081921,0.022422927,0.019637308,0.030454119,0.018301534,0.028449609,0.057183856,0.054709944,0.064763054,0.154083591,0.04160293,0.121950024,0.161701016,0.0523136,0.06596478,0.063228317,,,,,,,,,,,,,,,,,,
1/19/2000,0.012610326,0.016381964,0.013975403,0.022183805,0.019478064,0.030384292,0.018008243,0.02806053,0.057187336,0.054341925,0.064659743,0.153988153,0.041656178,0.121953345,0.161997311,0.052564902,0.067127299,0.063441182,,,,,,,,,,,,,,,,,,
1/20/2000,0.012699337,0.016338527,0.013965159,0.022245623,0.019595342,0.030118297,0.01779174,0.027833403,0.056031402,0.054293111,0.064878505,0.154262235,0.041786587,0.121961333,0.162209852,0.052830274,0.067281611,0.06387766,,,,,,,,,,,,,,,,,,
1/21/2000,0.012691532,0.016121724,0.013887767,0.022052188,0.019466735,0.030111708,0.017873528,0.027764368,0.056058672,0.054447273,0.064856698,0.154252545,0.041738038,0.122193668,0.162216492,0.052819744,0.067386984,0.064060336,,,,,,,,,,,,,,,,,,
1/24/2000,0.012718536,0.016097177,0.013858047,0.022096668,0.019488753,0.029986125,0.017816146,0.027670894,0.056217429,0.054638501,0.06496476,0.154353431,0.04171849,0.122414367,0.162119803,0.052781717,0.067092615,0.06396654,,,,,,,,,,,,,,,,,,
1/25/2000,0.012319168,0.015879647,0.013489449,0.021692641,0.019058147,0.029957159,0.017914463,0.027735611,0.056706617,0.054134886,0.065429898,0.155196104,0.041723475,0.122710696,0.162423518,0.052397008,0.067324832,0.063906682,,,,,,,,,,,,,,,,,,
1/26/2000,0.012479279,0.015815482,0.013589264,0.021535924,0.019037754,0.029615946,0.017794258,0.027356227,0.056382171,0.053535159,0.065639506,0.155404508,0.041640448,0.123126318,0.162875913,0.052298586,0.067723164,0.064150093,,,,,,,,,,,,,,,,,,
1/27/2000,0.012293489,0.015686216,0.01354912,0.021669855,0.019009824,0.029766789,0.018051788,0.027464905,0.056460535,0.053760411,0.065986419,0.155496711,0.041764179,0.123247915,0.162930676,0.052315505,0.066888141,0.063657521,,,,,,,,,,,,,,,,,,
1/28/2000,0.012222838,0.015656769,0.013413243,0.021626878,0.018964816,0.0298927,0.018231736,0.027581656,0.056996497,0.053723668,0.06626756,0.155378645,0.041686568,0.123144671,0.163176039,0.052113974,0.066421533,0.063500209,,,,,,,,,,,,,,,,,,
1/31/2000,0.011823373,0.015334405,0.013102071,0.021249014,0.018568562,0.029593582,0.01828499,0.027437653,0.057347779,0.053076579,0.067026391,0.15594699,0.04146841,0.123393037,0.163975144,0.052074966,0.066331122,0.063965932,,,,,,,,,,,,,,,,,,
2/1/2000,0.011589407,0.015944801,0.012298964,0.02021273,0.02022858,0.0282416,0.017957644,0.023168712,0.058113465,0.052262713,0.056998795,0.155950347,0.046575334,0.13079783,0.173289852,0.049058734,0.071308474,0.056002019,,,,,,,,,,,,,,,,,,
2/2/2000,0.011793176,0.016029677,0.012421907,0.020235474,0.020272918,0.028194482,0.018018641,0.02306196,0.058413363,0.052182312,0.057130167,0.155787335,0.04625532,0.130267052,0.172815465,0.049171155,0.072188686,0.05576091,,,,,,,,,,,,,,,,,,
2/3/2000,0.011806524,0.016002449,0.012337131,0.020153191,0.020194766,0.028414462,0.01835558,0.023231179,0.05894953,0.05215912,0.057286567,0.155458284,0.046260995,0.130710397,0.172396315,0.049057568,0.071103118,0.056122824,,,,,,,,,,,,,,,,,,
2/4/2000,0.01195146,0.016061432,0.012338512,0.020151231,0.020181225,0.028787099,0.018797317,0.023468398,0.05994044,0.052519323,0.057433773,0.154924726,0.046538154,0.13013742,0.171283638,0.04889505,0.071017613,0.05557319,,,,,,,,,,,,,,,,,,
2/7/2000,0.011900207,0.016033174,0.012253612,0.01988235,0.020027369,0.028831345,0.019138236,0.023329259,0.060756377,0.052298132,0.057044928,0.153878566,0.0468113,0.129328501,0.170783146,0.048507108,0.07218377,0.057012619,,,,,,,,,,,,,,,,,,
2/8/2000,0.011920278,0.016113352,0.0122112,0.019724926,0.019935726,0.028587854,0.018904055,0.02305537,0.061341589,0.051937353,0.056510207,0.153128676,0.046848886,0.129072514,0.170241054,0.048363731,0.07149812,0.06060511,,,,,,,,,,,,,,,,,,
2/9/2000,0.01214677,0.016002771,0.0122828,0.01980509,0.020058721,0.028614395,0.0192648,0.023673844,0.061579177,0.052216659,0.057175013,0.153756548,0.047051861,0.129202246,0.170425327,0.048491593,0.070790621,0.057461765,,,,,,,,,,,,,,,,,,
2/10/2000,0.011873409,0.015687035,0.01196667,0.019468865,0.019656585,0.028579076,0.019508609,0.02394755,0.061413919,0.051923213,0.056619939,0.153219071,0.046840868,0.128830211,0.170323506,0.048445154,0.071899853,0.059796465,,,,,,,,,,,,,,,,,,
2/11/2000,0.011986677,0.015716528,0.011983524,0.01933184,0.019582703,0.028390483,0.019446979,0.023860577,0.061604666,0.051626757,0.056166305,0.152913067,0.04704311,0.128845629,0.170257992,0.048341382,0.073018523,0.059883257,,,,,,,,,,,,,,,,,,
2/14/2000,0.011737077,0.015426047,0.011782341,0.019107924,0.019309264,0.028524839,0.019458421,0.023863713,0.062030368,0.051456766,0.056504521,0.153400973,0.046943654,0.129101354,0.169988971,0.047949994,0.072951463,0.060462309,,,,,,,,,,,,,,,,,,
2/15/2000,0.011765615,0.015502006,0.011880886,0.019153846,0.019319132,0.028396245,0.019319945,0.023802976,0.061743382,0.051473386,0.056956855,0.153950345,0.046977201,0.129084588,0.169431349,0.047555628,0.07387636,0.059810256,,,,,,,,,,,,,,,,,,
2/16/2000,0.011788788,0.015694501,0.012006871,0.019356398,0.019485218,0.028036179,0.018957444,0.023491695,0.06185673,0.051492306,0.056853588,0.15396973,0.047244911,0.129387023,0.169931454,0.047668031,0.073690864,0.059088271,,,,,,,,,,,,,,,,,,
2/17/2000,0.011594221,0.015661089,0.011828805,0.019251201,0.019276763,0.02819955,0.01897895,0.023801058,0.062360093,0.051356412,0.056803759,0.153843726,0.047200528,0.129324362,0.170198654,0.047472361,0.074098755,0.058749712,,,,,,,,,,,,,,,,,,
2/18/2000,0.011620027,0.015702359,0.011809482,0.019187703,0.019181124,0.028410122,0.019129408,0.023830626,0.063221361,0.051691568,0.056948854,0.1535685,0.046984355,0.129095256,0.169930019,0.047691895,0.072902205,0.059095135,,,,,,,,,,,,,,,,,,
2/22/2000,0.011278591,0.01530157,0.011519702,0.018818513,0.018756022,0.028099959,0.019136642,0.023773225,0.063594675,0.051064142,0.057521235,0.154470379,0.04714027,0.129660151,0.170558845,0.047397805,0.072900962,0.059007313,,,,,,,,,,,,,,,,,,
2/23/2000,0.01130956,0.015398731,0.01149895,0.018831122,0.018844601,0.028213224,0.019149267,0.02394729,0.062271832,0.05110013,0.05804828,0.155265922,0.047206088,0.129681704,0.170558854,0.047200776,0.073130136,0.058343533,,,,,,,,,,,,,,,,,,
